date,equity
2025-07-29,124766.60588238362
2025-07-30,124931.63894644886
2025-07-31,124931.63894644886
2025-08-01,124931.63894644886
2025-08-02,124931.63894644886
2025-08-03,124931.63894644886
2025-08-04,124987.45558535088
2025-08-05,124987.45558535088
2025-08-06,125078.73941580954
2025-08-07,125243.63416725134
2025-08-08,125277.8199988303
2025-08-09,125434.703753067
2025-08-10,125566.74132672657
2025-08-11,125661.80553104848
2025-08-12,125983.76121531278
2025-08-13,125983.76121531278
2025-08-14,125983.76121531278
2025-08-15,126082.1708525079
2025-08-16,126234.47865326439
2025-08-17,126241.64496857052
2025-08-18,126257.57413024717
2025-08-19,126288.03468527715
2025-08-20,126398.88656758484
2025-08-21,126423.70796221001
2025-08-22,127139.68486857016
2025-08-23,127448.91459788792
2025-08-24,127495.76879369211
2025-08-25,127495.76879369211
2025-08-26,127495.76879369211
2025-08-27,127491.60152316031
2025-08-28,127480.63307139279
2025-08-29,127477.29686594392
2025-08-30,127560.16544286034
2025-08-31,127584.29653661033
2025-09-01,127648.21385757734
2025-09-02,127761.68566768689
2025-09-03,127761.68566768689
2025-09-04,127761.68566768689
2025-09-05,127761.68566768689
2025-09-06,127761.68566768689
2025-09-07,127802.51754393689
2025-09-08,127839.33414016783
2025-09-09,127955.11361236224
2025-09-10,127955.11361236224
2025-09-11,127997.50422739291
2025-09-12,127989.32227659116
2025-09-13,127989.32227659116
2025-09-14,128016.53128098114
2025-09-15,128016.53128098114
2025-09-16,128039.29319729531
2025-09-17,128039.29319729531
2025-09-18,128426.82573578211
2025-09-19,128426.82573578211
2025-09-20,128447.48797556413
2025-09-21,128447.48797556413
2025-09-22,128471.67110056413
2025-09-23,128650.11126420934
2025-09-24,128691.14151455705
2025-09-25,128691.14151455705
2025-09-26,128691.14151455705
2025-09-27,128735.72969816701
2025-09-28,128735.72969816701
2025-09-29,128826.19755375036
2025-09-30,128847.370283232
2025-10-01,129037.7159115114
2025-10-02,129064.00034066121
2025-10-03,129063.5668324259
2025-10-04,129165.37775787234
2025-10-05,129197.79258545855
