entry_time,exit_time,entry_price,exit_price,pnl
2024-03-01 20:55:00+00:00,2024-03-02 01:10:00+00:00,0.6122,0.6079,-32.829461963072845
2024-03-02 02:50:00+00:00,2024-03-02 03:10:00+00:00,0.6075,0.5961,-63.72403968566459
2024-03-02 04:50:00+00:00,2024-03-02 06:05:00+00:00,0.6075,0.5974,-56.33631245758261
2024-03-02 07:55:00+00:00,2024-03-02 09:20:00+00:00,0.6014,0.5901,-60.3290341601446
2024-03-02 17:15:00+00:00,2024-03-03 00:15:00+00:00,0.5872,0.5981,33.31432587726067
2024-03-03 01:20:00+00:00,2024-03-03 05:20:00+00:00,0.6044,0.622,59.7923872104343
2024-03-03 08:50:00+00:00,2024-03-03 12:50:00+00:00,0.5927,0.5928,-12.27869297438292
2024-03-03 13:45:00+00:00,2024-03-03 19:10:00+00:00,0.6034,0.6274,86.9971318963594
2024-03-03 22:40:00+00:00,2024-03-03 23:05:00+00:00,0.6354,0.6281,-42.55914946918256
2024-03-04 00:20:00+00:00,2024-03-04 00:50:00+00:00,0.6425,0.6255,-79.40782497859072
2024-03-04 07:35:00+00:00,2024-03-04 09:10:00+00:00,0.6139,0.6118,-20.53122371954305
2024-03-04 09:55:00+00:00,2024-03-04 10:20:00+00:00,0.6223,0.6106,-57.145953442546215
2024-03-04 12:35:00+00:00,2024-03-04 14:05:00+00:00,0.6088,0.5954,-62.989448703472135
2024-03-04 18:55:00+00:00,2024-03-04 21:10:00+00:00,0.5867,0.5847,-19.02594794349443
2024-03-04 21:30:00+00:00,2024-03-04 22:25:00+00:00,0.5911,0.5895,-17.209306345890127
2024-03-04 23:00:00+00:00,2024-03-04 23:35:00+00:00,0.5961,0.5893,-36.11188794248392
2024-03-05 04:05:00+00:00,2024-03-05 07:35:00+00:00,0.5837,0.5885,6.878967200073475
2024-03-05 08:55:00+00:00,2024-03-05 13:05:00+00:00,0.5969,0.5979,-7.191664345632944
2024-03-05 14:45:00+00:00,2024-03-05 16:15:00+00:00,0.6026,0.5887,-59.80856666232103
2024-03-05 18:00:00+00:00,2024-03-05 18:55:00+00:00,0.6204,0.6017,-72.4151238277127
2024-03-05 23:05:00+00:00,2024-03-06 00:55:00+00:00,0.5574,0.5611,3.188886157205161
2024-03-06 03:45:00+00:00,2024-03-06 09:25:00+00:00,0.5465,0.5849,128.55336805382194
2024-03-06 11:10:00+00:00,2024-03-06 12:15:00+00:00,0.5844,0.5817,-20.138134358468506
2024-03-06 15:55:00+00:00,2024-03-06 18:35:00+00:00,0.572,0.5722,-9.61981191605446
2024-03-06 19:30:00+00:00,2024-03-07 04:00:00+00:00,0.5805,0.627,152.9864080409602
2024-03-07 04:40:00+00:00,2024-03-07 08:00:00+00:00,0.6472,0.6661,52.6821337747092
2024-03-07 09:00:00+00:00,2024-03-07 10:35:00+00:00,0.6844,0.6837,-13.427753360161205
2024-03-07 11:30:00+00:00,2024-03-07 15:15:00+00:00,0.7163,0.7321,37.40088466352836
2024-03-07 18:20:00+00:00,2024-03-07 18:55:00+00:00,0.7612,0.7415,-68.66792059441605
2024-03-07 19:35:00+00:00,2024-03-07 22:05:00+00:00,0.7617,0.7588,-18.92596068057219
2024-03-08 00:30:00+00:00,2024-03-08 01:25:00+00:00,0.7661,0.7396,-83.72177505822742
2024-03-08 06:55:00+00:00,2024-03-08 08:30:00+00:00,0.7179,0.7106,-30.689453899829232
2024-03-08 10:25:00+00:00,2024-03-08 11:25:00+00:00,0.7245,0.7143,-37.81408349178787
2024-03-08 11:40:00+00:00,2024-03-08 13:50:00+00:00,0.7263,0.7289,-2.7924894696927822
2024-03-08 16:45:00+00:00,2024-03-08 20:15:00+00:00,0.7525,0.7278,-72.65662634118075
2024-03-08 23:25:00+00:00,2024-03-09 01:15:00+00:00,0.7259,0.7133,-41.142258651793554
2024-03-09 02:55:00+00:00,2024-03-09 09:55:00+00:00,0.7259,0.7664,90.78224853865026
2024-03-09 14:20:00+00:00,2024-03-09 15:20:00+00:00,0.7569,0.76,-1.7373003414791128
2024-03-09 20:50:00+00:00,2024-03-09 22:45:00+00:00,0.7443,0.741,-17.575056886385028
2024-03-10 00:30:00+00:00,2024-03-10 03:05:00+00:00,0.7502,0.7512,-6.761687924321905
2024-03-10 05:15:00+00:00,2024-03-10 05:45:00+00:00,0.7661,0.7528,-40.64180897971096
2024-03-10 07:25:00+00:00,2024-03-10 09:25:00+00:00,0.7645,0.7636,-10.954647480340554
2024-03-10 13:05:00+00:00,2024-03-10 14:40:00+00:00,0.7633,0.78,29.435218129080795
2024-03-10 17:10:00+00:00,2024-03-10 18:05:00+00:00,0.7964,0.785,-34.17175507105253
2024-03-10 19:55:00+00:00,2024-03-10 22:10:00+00:00,0.7985,0.7905,-25.939789757624112
2024-03-10 23:25:00+00:00,2024-03-11 00:40:00+00:00,0.7858,0.7701,-42.25728393694749
2024-03-11 04:05:00+00:00,2024-03-11 04:50:00+00:00,0.7624,0.75,-34.9081340187779
2024-03-11 07:00:00+00:00,2024-03-11 10:45:00+00:00,0.7617,0.7726,14.82740425295492
2024-03-11 11:50:00+00:00,2024-03-11 12:20:00+00:00,0.7822,0.7686,-35.94030941861706
2024-03-11 14:25:00+00:00,2024-03-11 15:55:00+00:00,0.7607,0.7505,-28.757146341450834
2024-03-11 18:15:00+00:00,2024-03-11 22:45:00+00:00,0.7511,0.7579,6.138065011170738
2024-03-11 23:25:00+00:00,2024-03-12 04:05:00+00:00,0.7656,0.7843,29.531081495686976
2024-03-12 04:40:00+00:00,2024-03-12 06:40:00+00:00,0.8084,0.7946,-34.11236333281545
2024-03-12 08:45:00+00:00,2024-03-12 10:25:00+00:00,0.7992,0.8101,12.940444213464616
2024-03-12 12:45:00+00:00,2024-03-12 16:20:00+00:00,0.8119,0.8085,-13.88965345914903
2024-03-12 18:00:00+00:00,2024-03-12 20:35:00+00:00,0.8085,0.81,-4.711496892580271
2024-03-12 23:35:00+00:00,2024-03-13 01:10:00+00:00,0.8192,0.8136,-17.486246935039617
2024-03-13 05:45:00+00:00,2024-03-13 13:25:00+00:00,0.8103,0.8588,79.4790096935692
2024-03-13 15:00:00+00:00,2024-03-13 16:35:00+00:00,0.8566,0.8689,14.197073642445503
2024-03-13 17:05:00+00:00,2024-03-13 20:35:00+00:00,0.9042,0.9156,11.582292437797832
2024-03-13 21:20:00+00:00,2024-03-13 22:45:00+00:00,0.9259,0.927,-5.875706453170096
